date,value
5/22/2010,6.08572477
5/23/2010,6.059931134
5/24/2010,6.035082351
5/25/2010,6.054412194
5/26/2010,6.062544013
5/27/2010,6.064130904
5/28/2010,6.082828752
5/29/2010,6.084014003
5/30/2010,6.081423979
5/31/2010,6.054619141
6/1/2010,6.060782231
6/2/2010,6.061932533
6/3/2010,6.060150844
6/4/2010,6.087744051
6/5/2010,6.083385016
6/6/2010,6.069064354
6/7/2010,6.065928348
6/8/2010,6.054306233
6/9/2010,6.06231434
6/10/2010,6.069561983
6/11/2010,6.094281573
6/12/2010,6.093454569
6/13/2010,6.067673207
6/14/2010,6.069293804
6/15/2010,6.048792841
6/16/2010,6.059615698
6/17/2010,6.071662283
6/18/2010,6.087732175
6/19/2010,6.098835346
6/20/2010,6.141704925
6/21/2010,6.076649057
6/22/2010,6.05371209
6/23/2010,6.052079792
6/24/2010,6.065698061
6/25/2010,6.080111426
6/26/2010,6.072041045
6/27/2010,6.034797793
6/28/2010,6.06263822
6/29/2010,6.061371239
6/30/2010,6.067597036
7/1/2010,6.075152563
7/2/2010,6.080874064
7/3/2010,6.089668214
7/4/2010,6.123395456
7/5/2010,6.074602318
7/6/2010,6.062491981
7/7/2010,6.062557222
7/8/2010,6.051387758
7/9/2010,6.08824921
7/10/2010,6.087019848
7/11/2010,6.087260459
7/12/2010,6.063591321
7/13/2010,6.063552825
7/14/2010,6.064704512
7/15/2010,6.072976243
7/16/2010,6.087377721
7/17/2010,6.082429579
7/18/2010,6.076091835
7/19/2010,6.065239881
7/20/2010,6.064067907
7/21/2010,6.066004507
7/22/2010,6.075944656
7/23/2010,6.08720949
7/24/2010,6.084829177
7/25/2010,6.076009027
7/26/2010,6.069730124
7/27/2010,6.072973432
7/28/2010,6.068208383
7/29/2010,6.07804915
7/30/2010,6.090554141
7/31/2010,6.101744389
8/1/2010,6.09315205
8/2/2010,6.069341194
8/3/2010,6.060272187
8/4/2010,6.074521726
8/5/2010,6.066265309
8/6/2010,6.087787525
8/7/2010,6.085357321
8/8/2010,6.079211904
8/9/2010,6.072841106
8/10/2010,6.06734919
8/11/2010,6.075970869
8/12/2010,6.070424609
8/13/2010,6.092732667
8/14/2010,6.091835026
8/15/2010,6.089343739
8/16/2010,6.072331738
8/17/2010,6.061770714
8/18/2010,6.062353879
8/19/2010,6.063877448
8/20/2010,6.089339713
8/21/2010,6.079576857
8/22/2010,6.075794903
8/23/2010,6.057318307
8/24/2010,6.064886084
8/25/2010,6.061936289
8/26/2010,6.06994688
8/27/2010,6.087086311
8/28/2010,6.072274735
8/29/2010,6.07825213
8/30/2010,6.051740639
8/31/2010,6.050580953
9/1/2010,6.063116345
9/2/2010,6.053300065
9/3/2010,6.07967089
9/4/2010,6.09331705
9/5/2010,6.079112699
9/6/2010,6.068072265
9/7/2010,6.048922845
9/8/2010,6.058392359
9/9/2010,6.052533059
9/10/2010,6.070468306
9/11/2010,6.058339995
9/12/2010,6.054592249
9/13/2010,6.060444147
9/14/2010,6.062928591
9/15/2010,6.063923457
9/16/2010,6.053884478
9/17/2010,6.079187923
9/18/2010,6.073823442
9/19/2010,6.056075715
9/20/2010,6.048832678
9/21/2010,6.040362138
9/22/2010,6.048652715
9/23/2010,6.040893545
9/24/2010,6.076043193
9/25/2010,6.071219022
9/26/2010,6.05758757
9/27/2010,6.052348343
9/28/2010,6.045005921
9/29/2010,6.052003185
9/30/2010,6.060106467
10/1/2010,6.08611249
10/2/2010,6.078701383
10/3/2010,6.055105389
10/4/2010,6.055322463
10/5/2010,6.052996138
10/6/2010,6.059652192
10/7/2010,6.063242652
10/8/2010,6.091120085
10/9/2010,6.080864196
10/10/2010,6.071654647
10/11/2010,6.06087538
10/12/2010,6.056874089
10/13/2010,6.061415797
10/14/2010,6.060407009
10/15/2010,6.080266583
10/16/2010,6.078012065
10/17/2010,6.058548975
10/18/2010,6.050731602
10/19/2010,6.043499679
10/20/2010,6.043205211
10/21/2010,6.056256447
10/22/2010,6.074713738
10/23/2010,6.067892016
10/24/2010,6.067640221
10/25/2010,6.055390841
10/26/2010,6.035042139
10/27/2010,6.04614547
10/28/2010,6.059046832
10/29/2010,6.077313649
10/30/2010,6.065007788
10/31/2010,6.070646618
11/1/2010,6.058196054
11/2/2010,6.037787215
11/3/2010,6.035040531
11/4/2010,6.052413244
11/5/2010,6.085403423
11/6/2010,6.077109662
11/7/2010,6.069868297
11/8/2010,6.056483719
11/9/2010,6.05276252
11/10/2010,6.059533995
11/11/2010,6.067985946
11/12/2010,6.079990764
11/13/2010,6.071946669
11/14/2010,6.061626609
11/15/2010,6.064568926
11/16/2010,6.066063313
11/17/2010,6.07025745
11/18/2010,6.069317295
11/19/2010,6.086055796
11/20/2010,6.07903343
11/21/2010,6.062975891
11/22/2010,6.071368478
11/23/2010,6.063182025
11/24/2010,6.088215659
11/25/2010,6.188724565
11/26/2010,6.100122432
11/27/2010,6.072261423
11/28/2010,6.058106138
11/29/2010,6.059046351
11/30/2010,6.061854436
12/1/2010,6.060603533
12/2/2010,6.06173941
12/3/2010,6.084293239
12/4/2010,6.079404025
12/5/2010,6.080207801
12/6/2010,6.062650877
12/7/2010,6.063345408
12/8/2010,6.063552435
12/9/2010,6.058008802
12/10/2010,6.083980047
12/11/2010,6.080802611
12/12/2010,6.055303079
12/13/2010,6.053684722
12/14/2010,6.065694631
12/15/2010,6.062095237
12/16/2010,6.065118708
12/17/2010,6.08748971
12/18/2010,6.080360548
12/19/2010,6.075043826
12/20/2010,6.066653357
12/21/2010,6.090876523
12/22/2010,6.086401593
12/23/2010,6.11505025
12/24/2010,6.265476716
12/25/2010,6.302097056
12/26/2010,6.082195246
12/27/2010,6.055134457
12/28/2010,6.045935703
12/29/2010,6.036925884
12/30/2010,6.057439147
12/31/2010,6.197495067
1/1/2011,6.15569599
1/2/2011,6.047530381
1/3/2011,6.031639404
1/4/2011,6.033936318
1/5/2011,6.037860195
1/6/2011,6.042639766
1/7/2011,6.060415042
1/8/2011,6.013628746
1/9/2011,6.019540787
1/10/2011,6.014149223
1/11/2011,6.012008903
1/12/2011,6.017009565
1/13/2011,6.025946504
1/14/2011,6.057230777
1/15/2011,6.044887825
1/16/2011,6.043340851
1/17/2011,6.038903791
1/18/2011,6.019589203
1/19/2011,6.035449649
1/20/2011,6.03248306
1/21/2011,6.055216033
1/22/2011,6.058605388
1/23/2011,6.035544349
1/24/2011,6.023286133
1/25/2011,6.02729353
1/26/2011,6.029155973
1/27/2011,6.026943347
1/28/2011,6.050117673
1/29/2011,6.05157929
1/30/2011,6.03432941
1/31/2011,6.028302992
2/1/2011,6.025323838
2/2/2011,6.019266574
2/3/2011,6.028867316
2/4/2011,6.058558217
2/5/2011,6.052189562
2/6/2011,6.047276723
2/7/2011,6.035461112
2/8/2011,6.032772617
2/9/2011,6.040318538
2/10/2011,6.037926214
2/11/2011,6.076045831
2/12/2011,6.068491835
2/13/2011,6.078640226
2/14/2011,6.170400255
2/15/2011,6.045204263
2/16/2011,6.034180315
2/17/2011,6.032843538
2/18/2011,6.048661125
2/19/2011,6.042629811
2/20/2011,6.036871415
2/21/2011,6.016895395
2/22/2011,6.013136991
2/23/2011,6.027688109
2/24/2011,6.027277882
2/25/2011,6.049384179
2/26/2011,6.050482993
2/27/2011,6.050162116
2/28/2011,6.03628477
3/1/2011,6.069962259
3/2/2011,6.034756965
3/3/2011,6.037072528
3/4/2011,6.063949269
3/5/2011,6.047560044
3/6/2011,6.031387863
3/7/2011,6.028680499
3/8/2011,6.042039924
3/9/2011,6.025271191
